order_item_id,order_id,product_id,quantity,unit_price
OI90472,O5001,P224,2,
OI21884,O5001,P269,1,-20.0
OI69374,O5001,P221,1,416.69
OI17805,O5001,P205,5,440.38
OI21139,O5002,P259,10,206.36
OI43291,O5002,P241,5,258.88
OI19204,O5002,P204,2,N/A
OI60661,O5002,P209,1,424.42
OI21422,O5003,P240,-1,-20.0
OI25465,O5003,P218,5,354.97
OI27166,O5004,P254,0,-20.0
OI37900,O5004,P201,10,N/A
OI12573,O5004,P227,3,200.17
OI15519,O5004,P219,5,223.56
OI91546,O5005,P259,3,-20.0
OI85310,O5005,P218,0,
OI89106,O5006,P211,0,28.46
OI15072,O5006,P266,10,-20.0
OI83317,O5007,P210,10,
OI12172,O5007,P209,10,
OI53380,O5008,P267,3,296.99
OI72232,O5008,P246,10,481.57
OI15828,O5009,P217,-1,-20.0
OI20180,O5009,P254,1,432.42
OI91914,O5009,P249,0,293.43
OI20512,O5009,P212,2,-20.0
OI88811,O5010,P212,,16.03
OI75175,O5010,P263,10,N/A
OI63052,O5011,P233,5,
OI38074,O5011,P250,5,N/A
OI71781,O5012,P236,5,-20.0
OI92016,O5012,P267,,-20.0
OI83929,O5013,P203,3,
OI13240,O5013,P235,5,390.73
OI92467,O5013,P215,,N/A
OI20219,O5013,P226,5,N/A
OI78212,O5014,P265,3,
OI21430,O5014,P253,0,-20.0
OI35805,O5014,P201,0,N/A
OI50613,O5015,P269,-1,134.63
OI18396,O5016,P255,1,N/A
OI79030,O5017,P272,10,
OI78522,O5017,P266,10,-20.0
OI24978,O5018,P265,1,304.59
OI80558,O5018,P206,0,274.28
OI74361,O5018,P212,3,-20.0
OI35093,O5019,P254,1,
OI75381,O5020,P214,,366.79
OI76908,O5020,P233,5,-20.0
OI13047,O5020,P249,0,
OI92298,O5021,P245,3,N/A
OI35517,O5021,P228,5,
OI41371,O5021,P217,2,133.45
OI66989,O5021,P254,3,104.32
OI34187,O5023,P215,5,
OI71205,O5024,P255,-1,N/A
OI11736,O5024,P206,5,-20.0
OI92494,O5025,P252,5,N/A
OI56614,O5027,P207,5,N/A
OI37947,O5028,P216,0,490.14
OI25042,O5028,P214,5,-20.0
OI76160,O5028,P207,5,325.76
OI22903,O5028,P234,10,N/A
OI60581,O5029,P261,3,428.56
OI95866,O5030,P235,10,N/A
OI13520,O5030,P202,5,
OI42136,O5032,P215,1,-20.0
OI64653,O5033,P259,10,-20.0
OI57712,O5033,P268,3,
OI41249,O5033,P262,2,N/A
OI76499,O5033,P246,10,
OI65730,O5034,P204,1,N/A
OI19501,O5034,P212,3,N/A
OI34099,O5036,P255,-1,-20.0
OI52487,O5036,P211,2,-20.0
OI99827,O5036,P260,10,412.63
OI38672,O5037,P246,-1,186.37
OI38994,O5038,P252,5,N/A
OI13161,O5038,P247,0,
OI86278,O5040,P270,10,395.09
OI38894,O5041,P263,-1,-20.0
OI97390,O5042,P245,1,403.92
OI70903,O5042,P270,1,264.31
OI65698,O5043,P268,10,140.65
OI71793,O5043,P240,2,
OI57096,O5044,P228,5,-20.0
OI62771,O5045,P244,2,
OI62353,O5045,P207,5,-20.0
OI30616,O5046,P254,3,
OI44003,O5046,P267,3,N/A
OI77624,O5046,P269,1,
OI71428,O5047,P211,10,
OI64653,O5047,P225,2,-20.0
OI82927,O5048,P240,,335.24
OI29940,O5050,P238,0,N/A
OI54222,O5050,P251,2,
OI59355,O5050,P215,-1,N/A
OI98826,O5051,P223,3,100.62
OI64020,O5053,P202,0,N/A
OI42119,O5053,P268,1,
OI75590,O5055,P266,3,
OI77637,O5055,P226,1,
OI20910,O5055,P218,5,-20.0
OI44651,O5056,P222,-1,302.75
OI10497,O5056,P237,-1,N/A
OI31741,O5056,P224,2,-20.0
OI64002,O5057,P260,1,-20.0
OI14962,O5058,P219,0,479.87
OI71592,O5058,P245,0,-20.0
OI46905,O5058,P263,,-20.0
OI66879,O5058,P216,2,N/A
OI23811,O5060,P268,5,-20.0
OI40916,O5060,P209,-1,-20.0
OI80462,O5061,P221,,
OI86743,O5062,P230,1,-20.0
OI51128,O5062,P240,-1,-20.0
OI37067,O5062,P226,10,430.21
OI35625,O5062,P241,-1,450.17
OI51023,O5063,P236,0,
OI53900,O5063,P257,0,
OI96770,O5064,P268,2,
OI49444,O5064,P224,5,142.03
OI84522,O5065,P212,3,
OI42230,O5065,P223,10,368.42
OI18392,O5066,P272,-1,-20.0
OI89702,O5067,P256,5,N/A
OI88227,O5068,P207,,
OI24980,O5069,P223,5,313.5
OI76919,O5070,P222,0,
OI75125,O5070,,,-20.0
OI71190,O5070,P247,5,353.36
OI26831,O5070,P263,3,-20.0
OI20025,O5071,P205,5,151.37
OI82336,O5071,P231,0,
OI87418,O5072,P223,,
OI59955,O5072,P249,1,N/A
OI42307,O5072,P224,3,-20.0
OI19539,O5073,P207,10,N/A
OI91391,O5073,P203,3,-20.0
OI52216,O5074,P250,,-20.0
OI34605,O5075,P220,3,N/A
OI59413,O5076,P219,5,-20.0
OI63124,O5076,P218,0,N/A
OI39628,O5076,P214,10,
OI28389,O5076,P206,1,-20.0
OI92905,O5077,P234,2,400.78
OI36465,O5078,P261,3,
OI78215,O5078,P212,-1,
OI63000,O5079,P235,1,N/A
OI97563,O5080,P224,,N/A
OI57530,O5080,P204,5,386.88
OI39949,O5082,P234,5,121.1
OI81278,O5082,P251,1,-20.0
OI37258,O5083,P251,3,
OI30901,O5083,P243,,N/A
OI33302,O5084,P266,3,439.35
OI23399,O5084,P240,2,-20.0
OI93201,O5085,P233,-1,N/A
